Names_Popular_Celebs,ChangesInRank,Rank,Role,KnownFor,Year_of_MostPopularRole,Year_of_MostPopularRole_dt
Graham Greene,3080,1,"Actor,Writer,Producer",The Green Mile,1999,1999-01-01
Owen Painter,1479,2,Actor,The Handmaid's Tale,2022,2022-01-01
Emma Myers,1,3,Actress,Wednesday,2022,2022-01-01
Jenna Ortega,4,4,"Actress,Producer,Soundtrack",Wednesday,2022,2022-01-01
Evie Templeton,104,5,Actor,Pinocchio,2022,2022-01-01
Richa Moorjani,281,6,"Actress,Producer",Never Have I Ever,2020,2020-01-01
Celia Imrie,5,7,"Actress,Soundtrack",The Best Exotic Marigold Hotel,2011,2011-01-01
Sydney Chandler,7,8,"Actress,Writer,Soundtrack",Don't Worry Darling,2022,2022-01-01
Helen Mirren,6,9,"Actress,Producer,Director",The Queen,2006,2006-01-01
Pierce Brosnan,5,10,"Actor,Producer,Executive",The World Is Not Enough,1999,1999-01-01
Lewis Pullman,1,11,"Actor,Producer,Soundtrack",Outer Range,2022,2022-01-01
Tom Hopper,1,12,"Actor,Producer,Executive",Black Sails,2014,2014-01-01
Taylor Kitsch,1,13,"Actor,Producer,Director",X-Men Origins: Wolverine,2009,2009-01-01
Tom Ellis,8,14,"Actor,Producer,Soundtrack",Lucifer,2016,2016-01-01
Frances O'Connor,1477,15,"Actress,Director,Writer",Emily,2022,2022-01-01
Joanna Lumley,88,16,"Actress,Producer,Director",Absolutely Fabulous,1992,1992-01-01
Jacob Elordi,241,17,"Actor,Producer,Writer",The Kissing Booth,2018,2018-01-01
Jonathan Pryce,4,18,"Actor,Producer,Soundtrack",The Two Popes,2019,2019-01-01
Denzel Washington,27,19,"Actor,Producer,Director",Fences,2016,2016-01-01
Domhnall Gleeson,311,20,"Actor,Writer,Producer",Frank,2014,2014-01-01
Noah LaLonde,43,21,"Actor,Producer",My Life with the Walter Boys,2023,2023-01-01
Henry Lloyd-Hughes,15,22,"Actor,Writer,Producer",The Thursday Murder Club,2025,2025-01-01
Billie Piper,80,23,"Actress,Producer,Writer",Secret Diary of a Call Girl,2007,2007-01-01
Naomi Ackie,9,24,"Actress,Producer,Soundtrack",Blink Twice,2024,2024-01-01
Dwayne Johnson,109,25,"Actor,Producer,Writer",Black Adam,2022,2022-01-01
Ben Kingsley,6,26,"Actor,Producer,Additional Crew",Sexy Beast,2000,2000-01-01
Florence Pugh,5,27,"Actress,Producer,Soundtrack",The Falling,2014,2014-01-01
Gwendoline Christie,235,28,"Actress,Casting Department,Producer",Star Wars: Episode VIII - The Last Jedi,2017,2017-01-01
Sydney Sweeney,6,29,"Actress,Producer",Euphoria,2019,2019-01-01
Brad Pitt,14,30,"Producer,Actor,Executive",Fight Club,1999,1999-01-01
Heather Matarazzo,168,31,"Actress,Producer,Director",Welcome to the Dollhouse,1995,1995-01-01
Tom Cruise,14,32,"Actor,Producer,Director",Top Gun,1986,1986-01-01
Keanu Reeves,47,33,"Actor,Producer,Additional Crew",The Matrix,1999,1999-01-01
David Tennant,3,34,"Actor,Producer,Director",Doctor Who,2005,2005-01-01
Austin Butler,14,35,"Actor,Producer,Soundtrack",Elvis,2022,2022-01-01
Chelsea Frei,2173,36,"Actress,Writer,Producer",The Moodys,2019,2019-01-01
Emerald Fennell,3345,37,"Writer,Director,Producer",Wuthering Heights,2026,2026-01-01
Catherine Zeta-Jones,57,38,"Actress,Producer,Soundtrack",Chicago,2002,2002-01-01
Leonardo DiCaprio,3,39,"Producer,Actor,Writer",Inception,2010,2010-01-01
Margot Robbie,103,40,"Actress,Producer,Executive",Suicide Squad,2016,2016-01-01
Ashby Gentry,67,41,Actor,Are You Afraid of the Dark?,2022,2022-01-01
Nikki Rodriguez,152,42,"Actress,Producer",My Life with the Walter Boys,2023,2023-01-01
Darren Aronofsky,11,43,"Producer,Writer,Director",Pi,1998,1998-01-01
Sabrina Impacciatore,1592,44,"Actress,Writer,Additional Crew",The Passion of the Christ,2004,2004-01-01
Liam Neeson,80,45,"Actor,Producer,Soundtrack",Kinsey,2004,2004-01-01
ChloÃ« Grace Moretz,378,46,"Actress,Producer,Soundtrack",Kick-Ass,2010,2010-01-01
Michael C. Hall,25,47,"Actor,Producer,Director",Dexter,2006,2006-01-01
Daniel Mays,11,48,"Actor,Soundtrack",The Bank Job,2008,2008-01-01
Jennifer Holland,14,49,Actress,Peacemaker,2022,2022-01-01
Christopher Lloyd,78,50,"Actor,Producer,Soundtrack",Back to the Future,1985,1985-01-01
Jason Statham,19,51,"Actor,Producer,Stunts",Crank,2006,2006-01-01
Hunter Doohan,228,52,"Actor,Writer,Producer",Wednesday,2022,2022-01-01
Gavin Casalegno,34,53,"Actor,Second Unit Director or Assistant Director",The Summer I Turned Pretty,2022,2022-01-01
Timothy Olyphant,28,54,"Actor,Producer,Soundtrack",Justified,2010,2010-01-01
Malin Akerman,26,55,"Actress,Producer,Soundtrack",Watchmen,2009,2009-01-01
Tom Hardy,0,56,"Actor,Producer,Writer",Inception,2010,2010-01-01
Kerry Condon,38,57,Actress,The Banshees of Inisherin,2022,2022-01-01
Emma Stone,34,58,"Actress,Producer,Soundtrack",La La Land,2016,2016-01-01
Chris Pratt,9,59,"Actor,Producer,Additional Crew",Guardians of the Galaxy,2014,2014-01-01
Samara Weaving,51,60,"Actress,Producer,Director",Ready or Not,2019,2019-01-01
Julia Garner,28,61,"Actress,Producer,Soundtrack",The Assistant,2019,2019-01-01
Steve Buscemi,114,62,"Actor,Director,Producer",Fargo,1996,1996-01-01
Benny Safdie,222,63,"Writer,Actor,Producer",Good Time,2017,2017-01-01
Nicolas Cage,20,64,"Actor,Producer,Director",Face/Off,1997,1997-01-01
David Corenswet,25,65,"Actor,Writer,Producer",Pearl,2022,2022-01-01
Margaret Qualley,38,66,"Actress,Producer,Additional Crew",Once Upon a Time... in Hollywood,2019,2019-01-01
Casper Van Dien,2642,67,"Actor,Producer,Director",Starship Troopers,1997,1997-01-01
Christopher Briney,8,68,"Actor,Director,Writer",Daliland,2022,2022-01-01
Olivia Colman,25,69,"Actress,Producer,Writer",The Favourite,2018,2018-01-01
Ruth Sheen,21,70,"Actress,Soundtrack",Another Year,2010,2010-01-01
Bruce Willis,33,71,"Actor,Producer,Writer",Die Hard,1988,1988-01-01
Christina Ricci,35,72,"Actress,Producer,Soundtrack",Buffalo '66,1998,1998-01-01
Christopher Nolan,4,73,"Producer,Writer,Director",Tenet,2020,2020-01-01
Adam Sandler,6,74,"Actor,Producer,Writer",The Waterboy,1998,1998-01-01
Zendaya,444,75,"Actress,Producer,Sound Department",Spider-Man: Homecoming,2017,2017-01-01
Geraldine Viswanathan,23,76,"Actress,Producer,Writer",Blockers,2018,2018-01-01
Lola Tung,6,77,Actress,The Young People,2025,2025-01-01
Chris Columbus,27,78,"Producer,Writer,Director",Harry Potter and the Sorcerer's Stone,2001,2001-01-01
Billy Magnussen,1504,79,"Actor,Producer,Writer",Lilo & Stitch,2025,2025-01-01
Hannah John-Kamen,5,80,"Actress,Soundtrack",Ant-Man and the Wasp,2018,2018-01-01
Vera Farmiga,277,81,"Actress,Producer,Director",Up in the Air,2009,2009-01-01
Joseph Marcell,1,82,"Actor,Director,Soundtrack",The Fresh Prince of Bel-Air,1990,1990-01-01
Quentin Tarantino,6,83,"Writer,Producer,Actor",Reservoir Dogs,1992,1992-01-01
Sydney Agudong,3908,84,"Actress,Writer,Music Artist",Lilo & Stitch,2025,2025-01-01
Pedro Pascal,31,85,"Actor,Producer,Soundtrack",The Last of Us,2023,2023-01-01
Scarlett Johansson,8,86,"Actress,Producer,Director",Lost in Translation,2003,2003-01-01
Emily Blunt,249,87,"Actress,Producer,Additional Crew",Edge of Tomorrow,2014,2014-01-01
Ana de Armas,11,88,"Actress,Producer",Blade Runner 2049,2017,2017-01-01
Christian Bale,17,89,"Actor,Producer,Editorial Department",The Dark Knight,2008,2008-01-01
Jake Gyllenhaal,1,90,"Actor,Producer,Camera and Electrical Department",Nightcrawler,2014,2014-01-01
Paul Freeman,44,91,Actor,Raiders of the Lost Ark,1981,1981-01-01
Nicholas Hoult,30,92,"Actor,Producer,Executive",About a Boy,2002,2002-01-01
Rebecca Ferguson,123,93,"Actress,Producer,Soundtrack",The Greatest Showman,2017,2017-01-01
James Gunn,28,94,"Writer,Producer,Director",Guardians of the Galaxy,2014,2014-01-01
Alex Lawther,30,95,"Actor,Director,Writer",The End of the F***ing World,2017,2017-01-01
Joy Sunday,321,96,"Actress,Producer,Director",Wednesday,2022,2022-01-01
Julie Delpy,86,97,"Actress,Writer,Producer",Three Colors: White,1994,1994-01-01
Idris Elba,185,98,"Actor,Producer,Writer",Beasts of No Nation,2015,2015-01-01
Matthew Goode,17,99,Actor,Stoker,2013,2013-01-01
Freya Allan,1428,100,"Actress,Additional Crew",Kingdom of the Planet of the Apes,2024,2024-01-01
